unit_id	scientificName	kalamari_taxid	species_taxid	accession_set	parent_assembly	eligibility	regime	resolver	species_name	superkingdom	total_length_bp	n_replicons	flags	note
Moorella_thermoacetica~GCF_001267435.1	Moorella_thermoacetica	1525	1525	CP012370	GCF_001267435.1	eligible			Moorella thermoacetica	Bacteria	2623349	1		
Moraxella_catarrhalis~GCF_900476075.1	Moraxella_catarrhalis	480	480	LS483445	GCF_900476075.1	eligible			Moraxella catarrhalis	Bacteria	1907984	1		
Morganella_morganii_morganii~GCF_000286435.2	Morganella_morganii_morganii	180434	582	CP004345	GCF_000286435.2	eligible			Morganella morganii	Bacteria	3799539	1		
Mycobacterium_abscessus~GCF_000069185.1	Mycobacterium_abscessus	36809	36809	CU458896	GCF_000069185.1	eligible			Mycobacteroides abscessus	Bacteria	5067172	1		
Mycobacterium_leprae~GCF_000195855.1	Mycobacterium_leprae	1769	1769	AL450380	GCF_000195855.1	eligible			Mycobacterium leprae	Bacteria	3268203	1		
Mycobacterium_tuberculosis~GCF_000195955.2	Mycobacterium_tuberculosis	1773	1773	AL123456	GCF_000195955.2	eligible			Mycobacterium tuberculosis	Bacteria	4411532	1		
Mycolicibacterium_fortuitum~GCF_022179545.1	Mycolicibacterium_fortuitum	144549	1766	AP025518	GCF_022179545.1	eligible			Mycolicibacterium fortuitum	Bacteria	6406072	1		
Mycoplasma_mycoides~GCF_000011445.1	Mycoplasma_mycoides	2102	2102	BX293980	GCF_000011445.1	eligible			Mycoplasma mycoides	Bacteria	1211703	1		
Neisseria_cinerea~GCF_016028715.1	Neisseria_cinerea	483	483	CP065726	GCF_016028715.1	eligible			Neisseria cinerea	Bacteria	1832901	1		
Neisseria_elongata~GCF_003351685.1	Neisseria_elongata	495	495	CP031255	GCF_003351685.1	eligible			Neisseria elongata	Bacteria	2534634	1		
Neisseria_flavescens~GCF_005221285.1	Neisseria_flavescens	484	484	CP039886	GCF_005221285.1	eligible			Neisseria flavescens	Bacteria	2231882	1		
Neisseria_gonorrhoeae~GCF_000006845.1	Neisseria_gonorrhoeae	485	485	AE004969	GCF_000006845.1	eligible			Neisseria gonorrhoeae	Bacteria	2153922	1		
Neisseria_lactamica~GCF_003351565.1	Neisseria_lactamica	486	486	CP031253	GCF_003351565.1	eligible			Neisseria lactamica	Bacteria	2200224	1		
Neisseria_meningitidis~GCF_000008805.1	Neisseria_meningitidis	487	487	AE002098	GCF_000008805.1	eligible			Neisseria meningitidis	Bacteria	2272360	1		
Neisseria_polysaccharea~GCF_003355195.1	Neisseria_polysaccharea	489	489	CP031325	GCF_003355195.1	eligible			Neisseria polysaccharea	Bacteria	2024930	1		
Neisseria_sicca~GCF_014054945.1	Neisseria_sicca	490	490	CP059566	GCF_014054945.1	eligible			Neisseria sicca	Bacteria	2864419	1		
Neisseria_subflava~GCF_005221305.1	Neisseria_subflava	28449	28449	CP039887	GCF_005221305.1	eligible			Neisseria subflava	Bacteria	2195659	1		
Neisseria_weaveri~GCF_900638685.1	Neisseria_weaveri	28091	28091	LR134533	GCF_900638685.1	eligible			Neisseria weaveri	Bacteria	2238481	1		
Neomysis_japonica~strain-1676841	Neomysis_japonica	1676841	1676841	KR006340	strain:1676841	exclude:organelle			Neomysis japonica	Eukaryota	17652	1		molecule=mitochondrion
Nocardia_asteroides~GCF_021183585.1	Nocardia_asteroides	1824	1824	CP089227	GCF_021183585.1	eligible			Nocardia asteroides	Bacteria	6983420	1		
Nocardia_farcinica~GCF_003367415.1	Nocardia_farcinica	37329	37329	CP031418	GCF_003367415.1	eligible			Nocardia farcinica	Bacteria	6291633	1		
Ochrobactrum_anthropi~GCF_000017405.1	Ochrobactrum_anthropi	529	529	CP000758,CP000759	GCF_000017405.1	eligible			Brucella anthropi	Bacteria	4783208	2		
Orthohantavirus_andesense~GCF_000850405.1	Orthohantavirus_andesense	1980456	1980456	NC_003466,NC_003467,NC_003468	GCF_000850405.1	exclude:virus			Orthohantavirus andesense	Viruses	12104	3		
Pantoea_ananatis~GCF_000025405.2	Pantoea_ananatis	553	553	CP001875	GCF_000025405.2	eligible			Pantoea ananatis	Bacteria	4703373	1		
Parabacteroides_distasonis~GCF_000012845.1	Parabacteroides_distasonis	823	823	CP000140	GCF_000012845.1	eligible			Parabacteroides distasonis	Bacteria	4811379	1		
Pasteurella_multocida~GCF_002073255.2	Pasteurella_multocida	747	747	CP020405	GCF_002073255.2	eligible			Pasteurella multocida	Bacteria	2331774	1		
Photobacterium_damselae~GCF_009763125.1	Photobacterium_damselae	38293	38293	CP046751,CP046752	GCF_009763125.1	eligible			Photobacterium damselae	Bacteria	4452463	2		
Pollachius_virens~strain-8060	Pollachius_virens	8060	8060	FR751399	strain:8060	exclude:organelle			Pollachius virens	Eukaryota	16556	1		molecule=mitochondrion
Polynucleobacter_necessarius~GCF_900096765.1	Polynucleobacter_necessarius	576610	576610	LT615228	GCF_900096765.1	eligible			Polynucleobacter necessarius	Bacteria	1825583	1		
Prochlorococcus_marinus~GCF_000007925.1	Prochlorococcus_marinus	1219	1219	AE017126	GCF_000007925.1	eligible			Prochlorococcus marinus	Bacteria	1751080	1		
Proteus_mirabilis~GCF_000444425.1	Proteus_mirabilis	584	584	CP004022	GCF_000444425.1	eligible			Proteus mirabilis	Bacteria	3846754	1		
Pseudomonas_aeruginosa~GCF_000006765.1	Pseudomonas_aeruginosa	287	287	AE004091	GCF_000006765.1	eligible			Pseudomonas aeruginosa	Bacteria	6264404	1		
Pseudomonas_putida~GCF_000412675.1	Pseudomonas_putida	390235	303	AP013070	GCF_000412675.1	eligible			Pseudomonas putida	Bacteria	6156701	1		
Pseudomonas_syringae_group_genomosp._3~GCF_000007805.1	Pseudomonas_syringae_group_genomosp._3	251701	251701	AE016853	GCF_000007805.1	eligible			Pseudomonas syringae group genomosp. 3	Bacteria	6397126	1		
Pyrobaculum_neutrophilum~GCF_000019805.1	Pyrobaculum_neutrophilum	70771	70771	CP001014	GCF_000019805.1	eligible			Pyrobaculum neutrophilum	Archaea	1769823	1		
Rhodopirellula_baltica~GCF_000196115.1	Rhodopirellula_baltica	265606	265606	BX119912	GCF_000196115.1	eligible			Rhodopirellula baltica	Bacteria	7145576	1		
Rhodospirillum_rubrum~GCF_000013085.1	Rhodospirillum_rubrum	1085	1085	CP000230	GCF_000013085.1	eligible			Rhodospirillum rubrum	Bacteria	4352825	1		
Rickettsia_prowazekii~GCF_000195735.1	Rickettsia_prowazekii	782	782	AJ235269	GCF_000195735.1	eligible			Rickettsia prowazekii	Bacteria	1111523	1		
Ruminococcus_sp.~GCF_005601135.1	Ruminococcus_sp.	1263	2564099	CP039381	GCF_005601135.1	eligible			Ruminococcus bovis	Bacteria	2440231	1	species_from_organism	declared taxid 1263 is genus; species taken from genome organism 2564099
Salinibacter_ruber~GCF_000013045.1	Salinibacter_ruber	146919	146919	CP000159	GCF_000013045.1	eligible			Salinibacter ruber	Bacteria	3551823	1		
Salmonella_bongori~GCF_000252995.1	Salmonella_bongori	54736	54736	FR877557	GCF_000252995.1	eligible			Salmonella bongori	Bacteria	4460105	1		
Salmonella_enterica_I~GCF_000006945.2	Salmonella_enterica_I	59201	28901	AE006468	GCF_000006945.2	eligible	B	ANI	Salmonella enterica	Bacteria	4857450	1	confounded	confounded:Salmonella enterica subspecies
Salmonella_enterica_IIa~GCF_006051055.1	Salmonella_enterica_IIa	9000010	28901	CP053411	GCF_006051055.1	eligible	B	ANI	Salmonella enterica	Bacteria	4925620	1	confounded	confounded:Salmonella enterica subspecies
Salmonella_enterica_IIb~GCF_900635535.1	Salmonella_enterica_IIb	9000011	28901	LR134141	GCF_900635535.1	eligible	B	ANI	Salmonella enterica	Bacteria	4724014	1	confounded	confounded:Salmonella enterica subspecies
Salmonella_enterica_IIIa~GCF_000018625.1	Salmonella_enterica_IIIa	9000014	28901	CP000880	GCF_000018625.1	eligible	B	ANI	Salmonella enterica	Bacteria	4600800	1	confounded	confounded:Salmonella enterica subspecies
Salmonella_enterica_IIIb~GCA_013162305.1	Salmonella_enterica_IIIb	9000015	28901	CP053583	GCA_013162305.1	eligible	B	ANI	Salmonella enterica	Bacteria	4852711	1	confounded	confounded:Salmonella enterica subspecies
Salmonella_enterica_IV~GCF_013161805.1	Salmonella_enterica_IV	59205	28901	CP053579	GCF_013161805.1	eligible	B	ANI	Salmonella enterica	Bacteria	4776313	1	confounded	confounded:Salmonella enterica subspecies
Salmonella_enterica_IX~GCF_013348865.1	Salmonella_enterica_IX	9000016	28901	CP054715	GCF_013348865.1	eligible	B	ANI	Salmonella enterica	Bacteria	4794154	1	confounded	confounded:Salmonella enterica subspecies
Salmonella_enterica_VI~GCF_006051135.1	Salmonella_enterica_VI	59207	28901	CP053406	GCF_006051135.1	eligible	B	ANI	Salmonella enterica	Bacteria	4612001	1	confounded	confounded:Salmonella enterica subspecies
Salmonella_enterica_VII~GCF_013162165.1	Salmonella_enterica_VII	59208	28901	CP053582	GCF_013162165.1	eligible	B	ANI	Salmonella enterica	Bacteria	4517871	1	confounded	confounded:Salmonella enterica subspecies
Salmonella_enterica_VIII~GCA_013138165.1	Salmonella_enterica_VIII	9000009	28901	CP053318	GCA_013138165.1	eligible	B	ANI	Salmonella enterica	Bacteria	4605416	1	confounded	confounded:Salmonella enterica subspecies
Salmonella_enterica_X~GCF_013162025.1	Salmonella_enterica_X	9000017	28901	CP053581	GCF_013162025.1	eligible	B	ANI	Salmonella enterica	Bacteria	4672196	1	confounded	confounded:Salmonella enterica subspecies
Serratia_liquefaciens~GCF_000422085.1	Serratia_liquefaciens	614	614	CP006252	GCF_000422085.1	eligible			Serratia liquefaciens	Bacteria	5238612	1		
Shewanella_halifaxensis~GCF_000019185.1	Shewanella_halifaxensis	271098	271098	CP000931	GCF_000019185.1	eligible			Shewanella halifaxensis	Bacteria	5226917	1		
Shewanella_oneidensis~GCF_000146165.2	Shewanella_oneidensis	70863	70863	AE014299	GCF_000146165.2	eligible			Shewanella oneidensis	Bacteria	4969811	1		
Shewanella_woodyi~GCF_000019525.1	Shewanella_woodyi	60961	60961	CP000961	GCF_000019525.1	eligible			Shewanella woodyi	Bacteria	5935403	1		
Shimwellia_blattae~GCF_000262305.1	Shimwellia_blattae	563	563	CP001560	GCF_000262305.1	eligible			Shimwellia blattae	Bacteria	4158725	1		
Sinorhizobium_fredii~GCF_000018545.1	Sinorhizobium_fredii	380	380	CP001389	GCF_000018545.1	eligible			Sinorhizobium fredii	Bacteria	3925702	1		
Sinorhizobium_medicae~GCF_000017145.1	Sinorhizobium_medicae	110321	110321	CP000738	GCF_000017145.1	eligible			Sinorhizobium medicae	Bacteria	3781904	1		
Sinorhizobium_meliloti~GCF_000006965.1	Sinorhizobium_meliloti	382	382	AL591688	GCF_000006965.1	eligible			Sinorhizobium meliloti	Bacteria	3654135	1		
Solanum_lycopersicum~strain-4081	Solanum_lycopersicum	4081	4081	MF034192	strain:4081	exclude:organelle			Solanum lycopersicum	Eukaryota	446257	1		molecule=mitochondrion
Staphylococcus_aureus~GCF_000772025.1	Staphylococcus_aureus	46170	1280	CP009554	GCF_000772025.1	eligible			Staphylococcus aureus	Bacteria	2886017	1		
Staphylococcus_epidermidis~GCF_000007645.1	Staphylococcus_epidermidis	1282	1282	AE015929	GCF_000007645.1	eligible			Staphylococcus epidermidis	Bacteria	2499279	1		
Staphylococcus_warneri~GCF_003571725.1	Staphylococcus_warneri	1292	1292	CP032159	GCF_003571725.1	eligible			Staphylococcus warneri	Bacteria	2515743	1		
Streptococcus_agalactiae~GCF_000007265.1	Streptococcus_agalactiae	1311	1311	AE009948	GCF_000007265.1	eligible			Streptococcus agalactiae	Bacteria	2160267	1		
Streptococcus_mitis~GCF_000027165.1	Streptococcus_mitis	28037	28037	FN568063	GCF_000027165.1	eligible			Streptococcus mitis	Bacteria	2146611	1		
Streptococcus_mutans~GCF_000007465.2	Streptococcus_mutans	1309	1309	AE014133	GCF_000007465.2	eligible			Streptococcus mutans	Bacteria	2032925	1		
Streptococcus_oralis~GCF_016127555.1	Streptococcus_oralis	1303	1303	CP066021	GCF_016127555.1	eligible			Streptococcus oralis	Bacteria	1931547	1		
Streptococcus_pneumoniae~GCF_000019265.1	Streptococcus_pneumoniae	487214	1313	CP000936	GCF_000019265.1	eligible			Streptococcus pneumoniae	Bacteria	2245615	1		
Streptococcus_pseudopneumoniae~GCF_000221985.1	Streptococcus_pseudopneumoniae	257758	257758	CP002925	GCF_000221985.1	eligible			Streptococcus pseudopneumoniae	Bacteria	2190731	1		
Streptococcus_pyogenes~GCF_000006785.2	Streptococcus_pyogenes	1314	1314	AE004092	GCF_000006785.2	eligible			Streptococcus pyogenes	Bacteria	1852433	1		
Streptococcus_sanguinis~GCF_000014205.1	Streptococcus_sanguinis	1305	1305	CP000387	GCF_000014205.1	eligible			Streptococcus sanguinis	Bacteria	2388435	1		
Streptococcus_suis~GCF_000026745.1	Streptococcus_suis	1307	1307	FM252032	GCF_000026745.1	eligible			Streptococcus suis	Bacteria	2146229	1		
Sus_scrofa~strain-9823	Sus_scrofa	9823	9823	FJ236999	strain:9823	exclude:organelle			Sus scrofa	Eukaryota	16941	1		molecule=mitochondrion
Thermanaerovibrio_acidaminovorans~GCF_000024905.1	Thermanaerovibrio_acidaminovorans	81462	81462	CP001818	GCF_000024905.1	eligible			Thermanaerovibrio acidaminovorans	Bacteria	1848474	1		
Thermoanaerobacter_pseudethanolicus~GCF_000019085.1	Thermoanaerobacter_pseudethanolicus	496866	496866	CP000924	GCF_000019085.1	eligible			Thermoanaerobacter pseudethanolicus	Bacteria	2362816	1		
Thermodesulfovibrio_yellowstonii~GCF_000020985.1	Thermodesulfovibrio_yellowstonii	28262	28262	CP001147	GCF_000020985.1	eligible			Thermodesulfovibrio yellowstonii	Bacteria	2003803	1		
Thermosynechococcus_elongatus~GCF_000011345.1	Thermosynechococcus_elongatus	146786	146786	BA000039	GCF_000011345.1	eligible			Thermosynechococcus vestitus	Bacteria	2593857	1		
Thermotoga_maritima~GCF_000008545.1	Thermotoga_maritima	2336	2336	AE000512	GCF_000008545.1	eligible			Thermotoga maritima	Bacteria	1860725	1		
Thermus_thermophilus~GCF_000091545.1	Thermus_thermophilus	274	274	AP008226	GCF_000091545.1	eligible			Thermus thermophilus	Bacteria	1849742	1		
Thunnus_alalunga~strain-8235	Thunnus_alalunga	8235	8235	AB101291	strain:8235	exclude:organelle			Thunnus alalunga	Eukaryota	16527	1		molecule=mitochondrion
Treponema_denticola~GCF_000008185.1	Treponema_denticola	158	158	AE017226	GCF_000008185.1	eligible			Treponema denticola	Bacteria	2843201	1		
Ureaplasma_parvum~GCF_000019345.1	Ureaplasma_parvum	134821	134821	CP000942	GCF_000019345.1	eligible			Ureaplasma parvum	Bacteria	751679	1		
Vibrio_alginolyticus~GCF_009665435.1	Vibrio_alginolyticus	663	663	CP035699,CP035700	GCF_009665435.1	eligible			Vibrio alginolyticus	Bacteria	5137878	2		
Vibrio_cholerae_O1~GCA_009665515.2	Vibrio_cholerae_O1	127906	666	CP038178,CP038179	GCA_009665515.2	eligible			Vibrio cholerae	Bacteria	4098803	2		
Vibrio_cidicii~GCF_009763805.1	Vibrio_cidicii	1763883	1763883	CP046803,CP046804	GCF_009763805.1	eligible			Vibrio cidicii	Bacteria	4750222	2		
Vibrio_cincinnatiensis~GCF_009665395.1	Vibrio_cincinnatiensis	675	675	CP035697,CP035698	GCF_009665395.1	eligible			Vibrio cincinnatiensis	Bacteria	3799536	2		
Vibrio_fluvialis~GCF_012275125.1	Vibrio_fluvialis	676	676	CP051126,CP051127	GCF_012275125.1	eligible			Vibrio fluvialis	Bacteria	4660731	2		
Vibrio_furnissii~GCF_009763225.1	Vibrio_furnissii	29494	29494	CP046797,CP046798	GCF_009763225.1	eligible			Vibrio furnissii	Bacteria	5086666	2		
Vibrio_harveyi~GCF_009665315.1	Vibrio_harveyi	669	669	CP035692,CP035693	GCF_009665315.1	eligible			Vibrio harveyi	Bacteria	5751647	2		
Vibrio_metoecus~GCF_009763865.1	Vibrio_metoecus	1481663	1481663	CP046817,CP046818	GCF_009763865.1	eligible			Vibrio metoecus	Bacteria	4031227	2		
Vibrio_metschnikovii~GCF_009665235.1	Vibrio_metschnikovii	28172	28172	CP035684,CP035685	GCF_009665235.1	eligible			Vibrio metschnikovii	Bacteria	3875681	2		
Vibrio_mimicus~GCF_009665195.1	Vibrio_mimicus	674	674	CP035682,CP035683	GCF_009665195.1	eligible			Vibrio mimicus	Bacteria	4476214	2		
Vibrio_navarrensis~GCF_009763725.1	Vibrio_navarrensis	29495	29495	CP046791,CP046792	GCF_009763725.1	eligible			Vibrio navarrensis	Bacteria	4781721	2		
Vibrio_parahaemolyticus~GCF_009764075.1	Vibrio_parahaemolyticus	670	670	CP046827,CP046828	GCF_009764075.1	eligible			Vibrio parahaemolyticus	Bacteria	5144797	2		
Vibrio_vulnificus~GCF_009764095.1	Vibrio_vulnificus	672	672	CP046832,CP046833	GCF_009764095.1	eligible			Vibrio vulnificus	Bacteria	4996741	2		
Vicia_faba~strain-3906	Vicia_faba	3906	3906	KC189947	strain:3906	exclude:organelle			Vicia faba	Eukaryota	588000	1		molecule=mitochondrion
Xanthomonas_campestris~GCF_000007145.1	Xanthomonas_campestris	339	339	AE008922	GCF_000007145.1	eligible			Xanthomonas campestris	Bacteria	5076188	1		
Xylella_fastidiosa~GCF_000019325.1	Xylella_fastidiosa	405440	2371	CP000941	GCF_000019325.1	eligible			Xylella fastidiosa	Bacteria	2475130	1		
Yersinia_aldovae~GCF_000834395.1	Yersinia_aldovae	29483	29483	CP009781	GCF_000834395.1	eligible			Yersinia aldovae	Bacteria	4471090	1		
Yersinia_bercovieri~GCF_013282745.1	Yersinia_bercovieri	634	634	CP054044	GCF_013282745.1	eligible			Yersinia bercovieri	Bacteria	4327340	1		
Yersinia_canariae~GCF_009831415.1	Yersinia_canariae	2607663	2607663	CP043727	GCF_009831415.1	eligible			Yersinia canariae	Bacteria	4710154	1		
Yersinia_enterocolitica~GCF_000009345.1	Yersinia_enterocolitica	630	630	AM286415	GCF_000009345.1	eligible			Yersinia enterocolitica	Bacteria	4615899	1		
Yersinia_enterocolitica~GCF_000192105.1	Yersinia_enterocolitica	630	630	CP002246	GCF_000192105.1	eligible			Yersinia enterocolitica	Bacteria	4552107	1		
Yersinia_frederiksenii~GCF_002591095.1	Yersinia_frederiksenii	29484	29484	CP023962	GCF_002591095.1	eligible			Yersinia frederiksenii	Bacteria	5000678	1		
Yersinia_hibernica~GCF_004124235.1	Yersinia_hibernica	2339259	2339259	CP032487	GCF_004124235.1	eligible			Yersinia hibernica	Bacteria	4742939	1		
Yersinia_intermedia~GCF_000834515.1	Yersinia_intermedia	631	631	CP009801	GCF_000834515.1	eligible			Yersinia intermedia	Bacteria	4859749	1		
Yersinia_kristensenii~GCF_013282785.1	Yersinia_kristensenii	28152	28152	CP054049	GCF_013282785.1	eligible			Yersinia kristensenii	Bacteria	4846082	1		
Yersinia_massiliensis~GCF_013282765.1	Yersinia_massiliensis	419257	419257	CP054048	GCF_013282765.1	eligible			Yersinia massiliensis	Bacteria	4909193	1		
Yersinia_mollaretii~GCF_013282725.1	Yersinia_mollaretii	33060	33060	CP054043	GCF_013282725.1	eligible			Yersinia mollaretii	Bacteria	4603534	1		
Yersinia_pseudotuberculosis~GCF_000834295.1	Yersinia_pseudotuberculosis	502800	633	CP009712	GCF_000834295.1	eligible	A	marker	Yersinia pseudotuberculosis	Bacteria	4743972	1	confounded	confounded:Yersinia pseudotuberculosis vs Y. pestis
Yersinia_rochesterensis~GCF_003600645.1	Yersinia_rochesterensis	1604335	1604335	CP032482	GCF_003600645.1	eligible			Yersinia rochesterensis	Bacteria	4438053	1		
Yersinia_rohdei~GCF_000834455.1	Yersinia_rohdei	29485	29485	CP009787	GCF_000834455.1	eligible			Yersinia rohdei	Bacteria	4372253	1		
